type,SpecimenID,SpeciesCode,Family,j_fg,SiteName,SizeClass,wt,SL,gh,gw,TL,FL,DissectedBy,Prey_zps,pType,pSize,ga
fish,KIF11_060,PA.INSU,Mullidae,BI,9,256 - 512 g,405.4,254,31.4,40.8,310,275,RT,y,invert,9.5,1006.189295
fish,KIF11_061,CE.UROD,Serranidae,Pi,9,64 - 128 g,65,128,33.2,36.2,156,None,SC,y,fish,18,943.9229287
fish,KIF11_070,PA.INSU,Mullidae,BI,30,64 - 128 g,119.9,169,26.6,29,211,182,SX,y,fish,61,605.8561432
fish,KIF11_074,PA.INSU,Mullidae,BI,30,64 - 128 g,77.3,151,18.8,20.9,182,163,RT,y,fish,42,308.5986464
fish,KIF11_074,PA.INSU,Mullidae,BI,30,64 - 128 g,77.3,151,18.8,20.9,182,163,RT,y,invert,40,308.5986464
fish,KIF11_086,PA.INSU,Mullidae,BI,35,256 - 512 g,413.8,243,26.6,36,305,265,SC,y,fish,31,752.0972813
fish,KIF11_086,PA.INSU,Mullidae,BI,35,256 - 512 g,413.8,243,26.6,36,305,265,SC,y,invert,5,752.0972813
fish,KIF11_086,PA.INSU,Mullidae,BI,35,256 - 512 g,413.8,243,26.6,36,305,265,SC,y,fish,23,752.0972813
fish,KIF11_097,PA.INSU,Mullidae,BI,35,64 - 128 g,93,154,29.3,31.7,195,169,SC,y,fish,9,729.4856681
fish,KIF11_100,LU.BOHA,Lutjanidae,Pi,19,2.05 - 4.10 kg,3.00E+03,485,76,93.5,585,552,RT,y,fish,50,5581.039349
fish,KIF11_100,LU.BOHA,Lutjanidae,Pi,19,2.05 - 4.10 kg,3.00E+03,485,76,93.5,585,552,RT,y,fish,120,5581.039349
fish,KIF11_101,LU.BOHA,Lutjanidae,Pi,19,2.05 - 4.10 kg,2420,455,76,84.7,530,510,RT,y,fish,40,5055.765057
fish,KIF11_101,LU.BOHA,Lutjanidae,Pi,19,2.05 - 4.10 kg,2420,455,76,84.7,530,510,RT,y,fish,60,5055.765057
fish,KIF11_114,CE.UROD,Serranidae,Pi,27,64 - 128 g,116.2,153,33.3,38.6,183,None,,y,fish,18,1009.535091
fish,KIF11_118,CE.ARGU,Serranidae,Pi,27,512 - 1024 g,839.2,302,63.4,75.5,363,None,,y,fish,9.5,3759.465389
fish,KIF11_126,PA.INSU,Mullidae,BI,38,256 - 512 g,489.4,257,40,45.6,324,283,,y,invert,14,1432.56625
fish,KIF11_127,PA.INSU,Mullidae,BI,38,128 - 256 g,208.4,201,24,29,247,22,,y,invert,7,546.6371217
fish,KIF11_127,PA.INSU,Mullidae,BI,38,128 - 256 g,208.4,201,24,29,247,22,,y,invert,4,546.6371217
fish,KIF11_163,CE.ARGU,Serranidae,Pi,27,512 - 1024 g,528.4,247,60,61.6,294,None,,y,fish,45,2902.831612
fish,KIF11_163,CE.ARGU,Serranidae,Pi,27,512 - 1024 g,528.4,247,60,61.6,294,None,,y,fish,39,2902.831612
fish,KIF11_181,PA.INSU,Mullidae,BI,35,256 - 512 g,358.2,240,27.6,34.3,296,257,,y,fish,41,743.5207333
fish,KIF11_181,PA.INSU,Mullidae,BI,35,256 - 512 g,358.2,240,27.6,34.3,296,257,,y,invert,31,743.5207333
fish,KIF11_182,PA.INSU,Mullidae,BI,35,128 - 256 g,175.1,257,39.8,37.3,315,283,,y,fish,40,1165.954989
fish,KIF11_182,PA.INSU,Mullidae,BI,35,128 - 256 g,175.1,257,39.8,37.3,315,283,,y,fish,19,1165.954989
fish,KIF11_182,PA.INSU,Mullidae,BI,35,128 - 256 g,175.1,257,39.8,37.3,315,283,,y,invert,29,1165.954989
fish,KIF11_195,PA.INSU,Mullidae,BI,2,128 - 256 g,201.1,215,34,38,263,233,RT/SC,y,invert,8,1014.734427
fish,KIF11_202,PA.INSU,Mullidae,BI,3,256 - 512 g,292.5,222,28.9,34,262,240,RT/SC,y,invert,5,771.7322354
fish,KIF11_203,PA.INSU,Mullidae,BI,3,256 - 512 g,311.6,222,28.5,37.6,278,245,RT/SC,y,invert,8,841.6326719
fish,KIF11_204,PA.INSU,Mullidae,BI,3,128 - 256 g,234.5,203,26.3,32.7,250,226,RT/SC,y,invert,11,675.4502745
fish,KIF11_204,PA.INSU,Mullidae,BI,3,128 - 256 g,234.5,203,26.3,32.7,250,226,RT/SC,y,invert,4,675.4502745
fish,KIF11_204,PA.INSU,Mullidae,BI,3,128 - 256 g,234.5,203,26.3,32.7,250,226,RT/SC,y,invert,4,675.4502745
