pk_SpecimenID,RT.OldID,SiteName,SpeciesCode,SciName,Guild,FishLevel,CollNotes,Weight (g),TL,FL,SL,GapeHeight,GapeWidth,log2biomass,PreySizeInStomach,SizeClass,StomachContents,DissNotes
1677,KIF11_406,2,CA.TERE,Caesio teres,ZP,LP.MF,,470.50,342.0,291.0,270.0,25.8,28.2,8.878,,256 - 512 g,crustacean mush,no tag in photo
1687,KIF11_416,24,CA.TERE,Caesio teres,ZP,LP.MF,,290.50,285.0,248.0,226.0,23.8,20.8,8.182,,256 - 512 g,snot with orange flecks,
1740,KIF11_469,11,CA.TERE,Caesio teres,ZP,LP.LF,,361.40,300.0,258.0,240.0,25.2,24.1,8.497,,256 - 512 g,snot and eyeballs,
1741,KIF11_470,11,CA.TERE,Caesio teres,ZP,LP.LF,,283.50,290.0,239.0,225.0,22.4,24.4,8.147,,256 - 512 g,empty,
1742,KIF11_471,11,CA.TERE,Caesio teres,ZP,LP.LF,,313.50,300.0,257.0,238.0,26.2,22.2,8.292,,256 - 512 g,snot,
1743,KIF11_472,11,CA.TERE,Caesio teres,ZP,LP.LF,,353.00,301.0,258.0,246.0,23.5,26.8,8.464,,256 - 512 g,fish scales and zooplankton snot,
1744,KIF11_473,11,CA.TERE,Caesio teres,ZP,LP.LF,,321.50,292.0,255.0,232.0,22.2,20.2,8.329,,256 - 512 g,zooplankton,
1895,KIF11_528,16,CA.TERE,Caesio teres,ZP,LP.LF,,6.80,89.5,79.3,71.7,8.2,6.3,2.766,,4 - 8 g,small crustaceans <1mm,CHECK WITH ANGELEEN WHY NO TL OR FL FOR THIS FISH
2406,KIF12.112,2,CA.TERE,Caesio teres,ZP,LP.MF,,270.00,290.0,,229.0,23.7,21.5,8.077,NA,256 - 512 g,"gritty & slimy, orange & white",
2619,KIF12.325,15,CA.TERE,Caesio teres,ZP,LP.LF,,390.00,303.0,,244.0,27.7,31.2,8.607,,256 - 512 g,"1 crab, bunch of brown goop",
2621,KIF12.327,15,CA.TERE,Caesio teres,ZP,LP.LF,,310.00,300.0,,240.0,25.3,30.4,8.276,,256 - 512 g,mush w. crustacean bits,
2625,KIF12.331,15,CA.TERE,Caesio teres,ZP,LP.LF,,300.00,284.0,,228.0,26.9,27.0,8.229,,256 - 512 g,brown mush,
2626,KIF12.332,15,CA.TERE,Caesio teres,ZP,LP.LF,,260.00,264.0,,210.0,17.7,21.5,8.022,,256 - 512 g,"orange mush, crustacean eyeballs",
2662,KIF12.368,15,CA.TERE,Caesio teres,ZP,LP.LF,,280.00,284.0,,220.0,31.9,27.8,8.129,,256 - 512 g,invertebrate goop,
2663,KIF12.369,15,CA.TERE,Caesio teres,ZP,LP.LF,,285.00,280.0,,215.0,26.4,27.7,8.155,,256 - 512 g,brown mush,
1404,KIF11_037,27,CA.FERD,Carangoides ferdau,AP,HP.HF,,1092.90,445.0,366.0,344.0,32.0,35.7,10.094,,1.02 - 2.05 kg,unidentified (crab?) hard parts,
1574,KIF11_207,3,CA.ORTH,Carangoides orthogrammus,AP,LP.MF,,1732.50,485.0,430.0,395.0,50.6,55.1,10.759,31mm,1.02 - 2.05 kg,at least 1 digesting fish >31mm TL,
2652,KIF12.358,30,CA.ORTH,Carangoides orthogrammus,AP,HP.HF,,1120.00,468.0,,390.0,65.7,63.1,10.129,,1.02 - 2.05 kg,"fish remains, small unID'd fish (37mm)",
2617,KIF12.323,15,CA.IGNO,Caranx ignobilis,AP,LP.LF,,6350.00,780.0,,645.0,90.8,116.5,12.633,,4.10 - 8.19 kg,snot,
1417,KIF11_050,27,CA.MELA,Caranx melampygus,AP,HP.HF,,263.30,272.0,236.0,223.0,27.6,31.0,8.041,,256 - 512 g,rotten fish (digested) TL minimum of = 19.3mm,
1538,KIF11_171,27,CA.MELA,Caranx melampygus,AP,HP.HF,,1054.90,415.0,360.0,320.0,39.2,40.8,10.043,,1.02 - 2.05 kg,"atleast 4 fish; minimum TL's: 76mm, 52mm, 31mm, 33mm",Check photoﾃ. I think this is probably actually Ca.ferda
2344,KIF12.50,8,CA.MELA,Caranx melampygus,AP,HP.LF,,2200.00,585.0,,490.0,27.6,19.0,11.103,7mm fish,2.05 -4.10 kg,"fish remains, scales, fish:",
2400,KIF12.106,3,CA.MELA,Caranx melampygus,AP,LP.MF,,2833.10,596.0,,510.0,49.6,70.0,11.468,130 mm TL,2.05 -4.10 kg,"fish remains, scales - biggest fish130mm TL",
2491,KIF12.197,19,CA.MELA,Caranx melampygus,AP,LP.LF,,1980.00,530.0,,445.0,55.8,65.5,10.951,,1.02 - 2.05 kg,crustacean larvae,
2526,KIF12.232,8,CA.MELA,Caranx melampygus,AP,HP.LF,,1814.00,550.0,,460.0,54.0,74.3,10.825,,1.02 - 2.05 kg,fish scales,
2527,KIF12.233,6,CA.MELA,Caranx melampygus,AP,HP.LF,,2676.00,580.0,,500.0,60.2,82.2,11.386,,2.05 -4.10 kg,pearl & digested fish matter,
2542,KIF12.248,15,CA.MELA,Caranx melampygus,AP,LP.LF,,2041.00,573.0,,498.0,57.0,64.8,10.995,,1.02 - 2.05 kg,otoliths & fish scales in gut,
2543,KIF12.249,15,CA.MELA,Caranx melampygus,AP,LP.LF,,1361.00,510.0,,415.0,52.0,57.3,10.410,,1.02 - 2.05 kg,empty gut,
2546,KIF12.252,15,CA.MELA,Caranx melampygus,AP,LP.LF,,126.60,211.0,,179.0,21.4,25.0,6.984,,64 - 128 g,"digesting crustacean, crab larvae: 25mm",
2580,KIF12.286,24,CA.MELA,Caranx melampygus,AP,LP.MF,,620.00,368.0,,306.0,44.6,47.0,9.276,,512 - 1024 g,green goop,
2605,KIF12.311,15,CA.MELA,Caranx melampygus,AP,LP.LF,,2132.00,586.0,,496.0,65.0,69.2,11.058,,2.05 -4.10 kg,empty stomach,other otolith smashed
